,Higher education [x],Vaccination [y]
985,15.1,46.2
986,35.2,50.8
987,31.3,60.3
988,12.6,48.7
989,23.5,89.8
990,32.6,61.5
991,11.1,46.8
992,23.0,27.7
993,20.7,57.8
994,21.7,48.1
995,22.2,54.3
996,26.8,51.4
997,20.0,58.6
998,14.8,54.6
999,20.1,50.1
1000,22.5,85.3
1001,15.5,45.9
1002,20.1,54.9
1003,30.9,44.8
1004,37.8,61.9
1005,17.9,62.3
1006,18.8,42.2
1007,18.8,58.9
1008,39.2,72.8
1009,18.4,51.9
1010,27.7,51.7
1011,26.4,65.9
1012,16.4,83.6
1013,22.9,44.7
1014,25.7,41.5
1015,15.3,49.3
1016,24.2,55.5
1017,15.3,36.8
1018,12.4,48.2
1019,55.5,75.7
1020,33.5,64.0
1021,16.1,90.0
1022,25.8,52.5
1023,17.9,61.2
1024,17.9,37.1
1025,14.7,35.1
1026,18.7,44.3
1027,18.9,40.8
1028,20.0,58.4
1029,17.5,49.6
1030,28.5,47.0
1031,27.7,66.2
1032,21.5,55.9
1033,22.4,51.5
1034,37.5,64.2
1035,20.8,41.6
1036,33.8,45.0
1037,17.2,38.5
1038,17.1,54.1
1039,19.5,61.0
1040,21.1,47.8
1041,12.4,36.5
1042,12.9,57.3
1043,23.8,64.0
1044,20.8,32.1
1045,16.7,48.0
1046,15.0,43.4
1047,6.9,26.2
1048,30.8,53.3
1049,16.3,43.6
1050,20.5,59.2
1051,15.4,35.3
1052,22.5,47.8
1053,15.5,42.2
1054,13.3,36.6
1055,18.5,43.0
1056,18.2,46.6
1057,12.3,45.6
1058,11.3,36.5
1059,43.3,82.2
1060,11.5,22.7
1061,17.7,57.8
1062,15.6,41.2
1063,13.2,52.5
1064,33.8,60.9
1065,12.6,45.5
1066,15.2,32.9
1067,22.8,90.5
1068,12.6,41.6
1069,11.8,49.6
1070,19.1,53.3
1071,22.8,45.9
1072,24.0,63.9
1073,24.5,56.8
1074,19.4,39.7
1075,24.8,48.5
1076,13.9,42.2
1077,33.1,71.8
1078,22.1,42.9
1079,18.9,48.9
1080,20.6,39.3
1081,23.0,58.3
1082,19.1,25.1
1083,20.0,61.6
1084,25.5,52.6
1085,14.8,42.8
1086,33.5,59.3
1087,61.6,73.6
1088,32.8,54.5
1089,23.1,59.8
1090,9.3,46.7
1091,19.1,37.0
1092,18.0,55.9
1093,18.6,52.3
1094,9.2,48.8
1095,25.2,58.1
1096,22.6,43.6
1097,9.5,39.0
1098,18.1,53.8
1099,38.2,67.3
1100,15.9,38.2
1101,19.5,50.8
1102,23.1,44.0
1103,32.1,57.7
1104,16.3,43.2
1105,37.2,69.6
1106,15.5,41.7
1107,20.1,50.0
1108,18.9,76.4
1109,12.7,42.7
1110,23.7,63.0
1111,19.8,49.6
1112,17.7,55.7
1113,17.9,53.5
1114,16.5,56.7
1115,18.8,95.0
1116,20.0,28.3
1117,11.0,31.2
1118,33.9,64.7
1119,47.1,55.2
1120,12.8,51.0
1121,25.4,58.2
1122,29.1,61.9
1123,19.2,50.2
1124,46.0,46.5
1125,36.1,73.9
1126,14.4,55.9
1127,34.8,53.8
1128,28.3,47.2
